ID;Scope;Kategorie;Spezifikation 1;Spezifikation 2;Spezifikation 3;Zusatzname;Kommentar;Eingang;Ausgang;Quelle;Faktor;Monatliche Eingaben;Wert-Jan (monatlich);Wert Feb (monatlich);Wert Mar (monatlich);Wert Apr (monatlich);Wert May (monatlich);Wert Jun (monatlich);Wert Jul (monatlich);Wert Aug (monatlich);Wert Sep (monatlich);Wert Oct (monatlich);Wert Nov (monatlich);Wert Dec (monatlich);Überliegende Berechnung (ID);Projekt
myj0swiq9rugmtf;3;Kunststoff;Naturkautschuk;;;;;kg;kg;EEW 2023;2,71;0;0;0;0;0;0;0;0;0;0;0;0;0;;
fx4usyjf3k47xzj;3;Mineralien und Baustoffe;Natursteinplatte;;;;;kg;kg;ÖKOBAUDAT;0,028;0;0;0;0;0;0;0;0;0;0;0;0;0;;
4idubpm0txp7ejp;1;Technische Gase;Neon;;;;;kg;kg;EEW 2023;149,58;0;0;0;0;0;0;0;0;0;0;0;0;0;;
r9368ic74zqsg00;3;Metalle;Nickel;;;Ni;;kg;kg;Gemis 5.1;11,087;0;0;0;0;0;0;0;0;0;0;0;0;0;;
gmr16v56y9bv02e;3;Metalle;Nickel;;;Ni;;kg;kg;EEW 2023;19,89;0;0;0;0;0;0;0;0;0;0;0;0;0;;
n7f4h3aiqk9crdg;3;Metalle;Nickel;sekundär;;Ni;;kg;kg;EEW 2023;1,04;0;0;0;0;0;0;0;0;0;0;0;0;0;;
lcukf3epqkilp7w;3;Metalle;Nickelerz;;;;;kg;kg;EEW 2023;0,98;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ptmfnzetkyv4sm9;3;Metalle;Niobkonzentrate;;;;;kg;kg;EEW 2023;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;;
u3kky393il4gl2n;3;Mineralien und Baustoffe;Normalmauermörtel;;;;;kg;kg;ÖKOBAUDAT;0,088;0;0;0;0;0;0;0;0;0;0;0;0;0;;
wetocykrdf2j5ks;3;Mineralien und Baustoffe;Novaculit;;;;;kg;kg;EEW 2023;0,44;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d6d3mhq0sk9kfv9;3;Kunststoff;Nylon 6;;;;;kg;kg;ProBas;9,127;0;0;0;0;0;0;0;0;0;0;0;0;0;;
cybvta6nxtmsbwc;3;Kunststoff;Nylon 6;;;;+ 30 % Glasfaser;kg;kg;ProBas;7,221;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qs905xpuy1tgl2m;3;Kunststoff;Nylon 66;;;;;kg;kg;ProBas;7,92;0;0;0;0;0;0;0;0;0;0;0;0;0;;
v79gi5lg53tz2w2;3;Kunststoff;Nylon 66;Glasfaser-Verbund;;;;kg;kg;ProBas;6,971;0;0;0;0;0;0;0;0;0;0;0;0;0;;
06cegfnvv76krmy;3;Chemische Grundstoffe und Produkte;o-Xylol;;;;;kg;kg;EEW 2023;1,73;0;0;0;0;0;0;0;0;0;0;0;0;0;;
053xo6ogfpc53gb;3;Mineralien und Baustoffe;Obsidian;Gestein;;;;kg;kg;EEW 2023;0,041;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5su1ydz8q32iby2;3;Mineralien und Baustoffe;Olivin;;;;;kg;kg;EEW 2023;77,61;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d3tarbscel7odqr;3;Anfahrt Mitarbeiter;ÖPNV;Straßenbahn;;;;km;kg;Gemis 5.1;0,117;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5zelet1kswm37rs;3;Mineralien und Baustoffe;Orsugisat;;; Na2NaAIF6;;kg;kg;EEW 2023;2,56;0;0;0;0;0;0;0;0;0;0;0;0;0;;
xotjq9vpr2uw7yw;3;Chemische Grundstoffe und Produkte;Orthoborsäure;;; H3BO3;;kg;kg;EEW 2023;0,98;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c3cb0tcajvhokiv;3;Chemische Grundstoffe und Produkte;Oxacyclopropan;;; C2H4O;;kg;kg;EEW 2023;1,85;0;0;0;0;0;0;0;0;0;0;0;0;0;;
iue9nq4bmg8vlbo;3;Chemische Grundstoffe und Produkte;Oxiran;;; C2H4O;;kg;kg;EEW 2023;1,85;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qucyrrdf8h9eiqq;3;Chemische Grundstoffe und Produkte;Oxomethan;;; CH2O;;kg;kg;EEW 2023;0,92;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2u04yvsc18moa0p;3;Chemische Grundstoffe und Produkte;p-Xylol;;;;;kg;kg;EEW 2023;1,73;0;0;0;0;0;0;0;0;0;0;0;0;0;;
xpfqnv2eha3uerc;3;Metalle;Palladium;;;Pd;;kg;kg;EEW 2023;11.227,61;0;0;0;0;0;0;0;0;0;0;0;0;0;;
g3db6qlhreau887;3;Holz, Papier und Pappe;Papier;;;;;kg;kg;EEW 2023;1,38;0;0;0;0;0;0;0;0;0;0;0;0;0;;
v58lfvoakahvzq0;3;Holz, Papier und Pappe;Papier;Sulfatzellstoff;;;;kg;kg;Gemis 5.1;0,315;0;0;0;0;0;0;0;0;0;0;0;0;0;;
